leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,1d4Gq65Rg615_LCj6zWEVrqABjB2JaYCZjS_fE9SA2CWHgB2fcL2pu3zNQ,Romântico,1018,305,281,False,False,False,False,O3_ty09qVGtAOrc0R9T-c_0Z2Jp9lP-eVp4xqHuYgbfwLji-1Jm0Ct7X2CC54JokFnlC2uw38uakgw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,XDmxB25SeKD6J4eO18uhJIhBqMXDQJuyGvVToGmF6PBbbg,IsDEAD,1017,335,315,False,False,True,False,k69-XcsySAUGnH-HQOw_ly2cYbY1854a6Hk_Ttr8vHDezahwOQhkvcUd75_BGZxrfh-1weS567JpDQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,5PcXMJzSmnTiBjFojyXSooQw63I1BlTmX0fvx2iSitQOgrYlqsqcIvlybA,hcnaazrxh,1017,121,94,False,False,False,False,FiTFmCAgXsRlcjZzZv1BgjKo5dVcW9fJAUlA3iqUAUu90OLQSyMQFRRIPJNA8Yx5L4-pwVekkSIa4Q
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,CTLfYGeRhMiGW2m7tqVupGJ5htz-aze3tGcjeqKtHdTa,Xinxa7,1017,101,75,False,False,True,False,6ZCzT6RaS3ytWGhqt07v4nOJ18YUNWg9SwBq9EMWSYxSpiuDe-clI0Mszssn_hkQlGmJ9C9UKsmRCQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,2eEIx8P9o9U7ZUPvosUWU2zX4fr0XlBKoSIa76phqUJUUEI,ghost99999,1016,191,155,False,False,True,False,DpBqsBYzDPvF2rHrlfTyStEQdu3W8K6KkyLsDjBPdE9_o1oi_ZxVQyf0X2uVtt_mMnw0T1QO42DPtw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,gj1-3AknpDqvnxPsiBrV2sHTNcYyp4tACNECnOmHHtVRZnA,curtyzz,1015,345,316,False,False,True,True,DABxIDE4Tt-pbVnGmerTVPejCn8ymglXhyO-ALYbUUoHgNbcMcKerpSGjJ_FuaBHtPExBedD5vqKuA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,PXKzwAT-1oVelRf_YVqhUd8yVX28jeTgHJscouux2EXhRg,pepito le frog,1015,119,95,False,False,False,False,55mUL-H7iYFDoFcP9OqYCyLsYbgBKexkOF5s_QAXx2YcYIch1xrZmQncxn_Agwc56cgmTCUp_dKHBw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,XUibKQ_JaigRzA9uj94UEUNG9yX6yT2LqcaYfGPPSppledk,AsheBoy,1014,363,334,False,False,True,False,fWY6JsYvrIzEHpeap9TGHuAg831-FC3lfYZraSNYqFytpvqcxA8JxmD_aIWEc1nvEP3tWe5sI2BIaQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,1jG2ICM_uo8tjEu-wz8rFgx3nlKRYFe2L-4Ren5seexfg98,intensidade,1014,218,182,True,False,False,False,PkYA6rWpE-Hhg7BSA4I7MKzteL85yjkGMVhW_IFG8_ftxQCEKeCyLKFxPoNeP2H2YmbtNc8UxWVdOQ
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,NMWkWM0LUoqI2iLZbupD_w9-l0X0nAbrgLQeMcBMSdcgRYw,mubarak KABOOM,1014,77,38,False,False,False,False,3Ri0T4RgSXiJHJJwHGsHtd8gHHO_j6twhWWGBw_ZFrHYs1Kd_Rd_XlOmzFa7LK45GBXQZZSIptScFw
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,N2CB-zNfIbx6ZXKNeYoz_jTLFWkcyGAlgUzeDQ7HLKDAtHfGVvtMNHSAAA,rare smile,1013,193,154,False,False,False,True,n98-E_anKdejsy5r2UBMkHY1KGH5tRtnsaUrpsjWqIUfS5rbtzVSaJtK2C7OE9tKuBb2L2657SZ1qA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,MUDl9DS9GUFwNxHQOwHTZWQdigJ9_q3sd1hzKWT0C3zEdao,Melancolica,1012,209,177,False,False,False,False,k7eexIUlf4ndN2dXJkzrskVLYjfDzDNyLP6HF8dwtPGBYfQfoywL4hyGNuFgP-wpz9Vam6oDnZ2XAA
61279367-76f2-34fe-aa72-386a19a90053,RANKED_SOLO_5x5,CHALLENGER,I,yh9il-lTNnH5DgiGtUutGGFz-Bu9iPeP5RjNMW8KtiQ0iQ,batman vermelho,1012,105,77,False,False,False,False,lJfPhe9oW0kwMWrqeEULMoCmEweX6HtalqDEaKCvszbQvrpddw6gsaR4vPM_apoY97-ObeJgSgodCw
